id,first_name,last_name,email,phone_number,date_of_birth,primary_city,primary_state,account_creation_date,persona_type,usual_login_device,is_vpn_user
15,Aarav,Nair,aarav.nair17@example.com,+91 8702678625,1981-06-14,Pune,Maharashtra,2023-10-04 15:49:51,Daily Spender,Samsung Galaxy S23,False
16,Ananya,Rao,ananya.rao248@example.com,+91 9286168684,1976-11-16,Pune,Maharashtra,2023-08-12 15:49:51,High Roller,iPhone 15,False
17,Ananya,Iyer,ananya.iyer280@example.com,+91 8528704377,1970-03-22,Bengaluru,Karnataka,2026-03-30 15:49:51,Daily Spender,iPhone 15,False
18,Rohan,Verma,rohan.verma112@example.com,+91 7303117735,1993-08-04,Pune,Maharashtra,2023-02-02 15:49:51,High Roller,iPhone 15,False
19,Pooja,Nair,pooja.nair31@example.com,+91 8432695724,1978-06-04,Hyderabad,Telangana,2023-05-28 15:49:51,Student,Windows PC,False
20,Rahul,Chauhan,rahul.chauhan76@example.com,+91 6126486233,1968-05-19,Pune,Maharashtra,2023-08-23 15:49:51,Daily Spender,Samsung Galaxy S23,False
21,Varun,Deshmukh,varun.deshmukh864@example.com,+91 7442260731,1947-05-03,Mumbai,Maharashtra,2026-05-31 15:49:51,Student,MacBook Air,False
22,Rohan,Deshmukh,rohan.deshmukh283@example.com,+91 8488947954,2007-03-18,Jaipur,Rajasthan,2024-01-08 15:49:51,Daily Spender,Samsung Galaxy S23,False
23,Kavya,Reddy,kavya.reddy282@example.com,+91 9090326199,1962-01-24,Mumbai,Maharashtra,2023-10-30 15:49:51,Daily Spender,MacBook Air,True
24,Rohan,Menon,rohan.menon889@example.com,+91 8693280251,1958-02-04,Surat,Gujarat,2025-01-01 15:49:51,Daily Spender,Samsung Galaxy S23,False
25,Rahul,Chauhan,rahul.chauhan372@example.com,+91 8774441960,1989-12-10,Delhi,Delhi,2024-01-17 15:49:51,Daily Spender,iPhone 15,False
26,Varun,Deshmukh,varun.deshmukh772@example.com,+91 8752928468,1971-09-05,Jaipur,Rajasthan,2023-09-13 15:49:51,Daily Spender,iPhone 13,False
27,Rohan,Deshmukh,rohan.deshmukh753@example.com,+91 7174800365,1975-10-13,Ahmedabad,Gujarat,2024-01-06 15:49:51,Daily Spender,Samsung Galaxy S23,False
28,Pooja,Gupta,pooja.gupta607@example.com,+91 8040278025,1969-06-04,Delhi,Delhi,2025-09-09 15:49:51,Daily Spender,MacBook Air,True
29,Rohan,Iyer,rohan.iyer166@example.com,+91 7406261518,2000-11-09,Jaipur,Rajasthan,2023-06-14 15:49:51,Daily Spender,Samsung Galaxy S23,False
30,Neha,Iyer,neha.iyer686@example.com,+91 7769129363,2005-02-26,Delhi,Delhi,2023-08-15 15:49:51,Daily Spender,Samsung Galaxy S23,False
31,Sneha,Menon,sneha.menon267@example.com,+91 6344623702,1967-07-05,Surat,Gujarat,2025-04-29 15:49:51,Daily Spender,MacBook Air,True
32,Amit,Bose,amit.bose558@example.com,+91 7672994525,1975-02-17,Kolkata,West Bengal,2025-12-17 15:49:51,Student,iPhone 15,False
33,Amit,Chauhan,amit.chauhan925@example.com,+91 7415732845,1962-01-05,Pune,Maharashtra,2023-10-09 15:49:51,Daily Spender,MacBook Air,False
34,Sneha,Iyer,sneha.iyer288@example.com,+91 8421147421,1991-11-16,Pune,Maharashtra,2025-10-06 15:49:51,Student,Samsung Galaxy S23,False
35,Vikram,Bose,vikram.bose400@example.com,+91 8771789806,1981-07-31,Ahmedabad,Gujarat,2022-11-24 15:49:51,Daily Spender,MacBook Air,True
36,Amit,Patel,amit.patel130@example.com,+91 6322234291,1971-08-16,Kolkata,West Bengal,2023-11-09 15:49:51,Daily Spender,Windows PC,False
37,Riya,Sharma,riya.sharma120@example.com,+91 7271704658,1951-05-18,Chennai,Tamil Nadu,2024-03-09 15:49:51,Daily Spender,MacBook Air,False
38,Rahul,Deshmukh,rahul.deshmukh476@example.com,+91 9880223757,1963-01-17,Surat,Gujarat,2024-04-22 15:49:51,Daily Spender,Samsung Galaxy S23,False
39,Amit,Verma,amit.verma584@example.com,+91 7340592528,1966-07-11,Chennai,Tamil Nadu,2025-08-30 15:49:51,Daily Spender,Samsung Galaxy S23,False
40,Varun,Deshmukh,varun.deshmukh760@example.com,+91 9957864876,1959-09-02,Kolkata,West Bengal,2025-05-04 15:49:51,Student,MacBook Air,False
41,Vikram,Iyer,vikram.iyer802@example.com,+91 7304392705,1977-02-06,Delhi,Delhi,2022-09-24 15:49:51,Student,Windows PC,False
42,Amit,Singh,amit.singh889@example.com,+91 8274235374,1955-04-30,Ahmedabad,Gujarat,2026-07-22 15:49:51,Student,Samsung Galaxy S23,True
43,Aditya,Menon,aditya.menon135@example.com,+91 9107176233,1997-05-10,Mumbai,Maharashtra,2023-05-15 15:49:51,High Roller,iPhone 13,False
44,Sneha,Bose,sneha.bose932@example.com,+91 8333794108,2006-02-21,Chennai,Tamil Nadu,2025-02-16 15:49:51,Student,MacBook Air,False
45,Pooja,Das,pooja.das317@example.com,+91 7297164158,1964-10-30,Mumbai,Maharashtra,2023-03-02 15:49:51,Daily Spender,Samsung Galaxy S23,False
46,Aditya,Joshi,aditya.joshi453@example.com,+91 9210808334,1946-04-20,Ahmedabad,Gujarat,2023-01-13 15:49:51,High Roller,Samsung Galaxy S23,False
47,Kavya,Joshi,kavya.joshi870@example.com,+91 6194875019,1951-07-27,Delhi,Delhi,2023-11-26 15:49:51,Daily Spender,Windows PC,False
48,Neha,Chauhan,neha.chauhan88@example.com,+91 6143662662,1994-11-29,Bengaluru,Karnataka,2026-03-18 15:49:51,Daily Spender,Samsung Galaxy S23,False
49,Ananya,Sharma,ananya.sharma581@example.com,+91 8005172327,1995-01-11,Hyderabad,Telangana,2022-09-13 15:49:51,Student,Windows PC,False
50,Kavya,Patel,kavya.patel28@example.com,+91 6944907287,1977-11-26,Hyderabad,Telangana,2025-08-25 15:49:51,Student,Samsung Galaxy S23,False
51,Rohan,Iyer,rohan.iyer907@example.com,+91 7192297728,1993-12-02,Mumbai,Maharashtra,2025-03-17 15:49:51,Daily Spender,MacBook Air,False
52,Ananya,Menon,ananya.menon891@example.com,+91 9567941224,1951-04-15,Bengaluru,Karnataka,2026-06-06 15:49:51,Daily Spender,Samsung Galaxy S23,False
53,Pooja,Nair,pooja.nair348@example.com,+91 9237281440,2002-11-09,Chennai,Tamil Nadu,2023-03-17 15:49:51,Student,Samsung Galaxy S23,False
54,Neha,Nair,neha.nair604@example.com,+91 8906066042,1985-04-07,Surat,Gujarat,2024-07-17 15:49:51,Daily Spender,iPhone 13,False
55,Pooja,Nair,pooja.nair77@example.com,+91 9708878677,1983-12-04,Jaipur,Rajasthan,2024-10-06 15:49:51,Daily Spender,iPhone 15,False
56,Amit,Chauhan,amit.chauhan726@example.com,+91 7191292617,1963-02-06,Bengaluru,Karnataka,2023-10-11 15:49:51,Daily Spender,iPhone 13,True
57,Rohan,Singh,rohan.singh585@example.com,+91 8231325406,1970-10-15,Delhi,Delhi,2024-06-05 15:49:51,Daily Spender,iPhone 15,False
58,Riya,Sharma,riya.sharma641@example.com,+91 6348408599,1951-05-20,Jaipur,Rajasthan,2024-03-25 15:49:51,Student,Samsung Galaxy S23,False
59,Neha,Deshmukh,neha.deshmukh289@example.com,+91 6241712806,1962-10-30,Surat,Gujarat,2023-10-10 15:49:51,Daily Spender,Windows PC,False
60,Aarav,Patel,aarav.patel918@example.com,+91 6394761134,1974-02-26,Kolkata,West Bengal,2024-04-01 15:49:51,Student,Windows PC,False
61,Varun,Singh,varun.singh929@example.com,+91 6281140073,1968-08-11,Mumbai,Maharashtra,2026-06-04 15:49:51,Daily Spender,iPhone 15,False
62,Kavya,Reddy,kavya.reddy614@example.com,+91 9918688536,2003-09-06,Pune,Maharashtra,2025-02-28 15:49:51,Daily Spender,Windows PC,False
63,Priya,Nair,priya.nair570@example.com,+91 7123365943,1990-01-16,Delhi,Delhi,2026-02-06 15:49:51,Daily Spender,iPhone 15,False
64,Neha,Gupta,neha.gupta545@example.com,+91 8756390539,1961-02-10,Delhi,Delhi,2025-01-17 15:49:51,Student,MacBook Air,True
65,Aarav,Rao,aarav.rao817@example.com,+91 9229335486,1969-05-11,Chennai,Tamil Nadu,2026-05-05 15:49:51,Daily Spender,Windows PC,False
66,Rohan,Sharma,rohan.sharma127@example.com,+91 9427548482,1973-07-21,Bengaluru,Karnataka,2026-06-30 15:49:51,Daily Spender,Samsung Galaxy S23,False
67,Riya,Das,riya.das801@example.com,+91 6149224195,1983-08-07,Ahmedabad,Gujarat,2023-08-11 15:49:51,Student,Windows PC,False
68,Varun,Chauhan,varun.chauhan530@example.com,+91 8876476297,1977-08-02,Surat,Gujarat,2025-12-30 15:49:51,High Roller,iPhone 15,False
69,Neha,Verma,neha.verma652@example.com,+91 8436546946,1998-09-01,Bengaluru,Karnataka,2026-05-13 15:49:51,Daily Spender,Samsung Galaxy S23,False
70,Karan,Nair,karan.nair778@example.com,+91 8469202675,1965-08-12,Hyderabad,Telangana,2024-06-06 15:49:51,Student,Samsung Galaxy S23,False
71,Priya,Verma,priya.verma892@example.com,+91 9072446297,1977-07-28,Delhi,Delhi,2024-10-08 15:49:51,High Roller,Windows PC,True
72,Karan,Verma,karan.verma529@example.com,+91 7845106855,1956-06-10,Delhi,Delhi,2023-11-14 15:49:51,Daily Spender,MacBook Air,False
73,Priya,Reddy,priya.reddy720@example.com,+91 7754894994,1964-07-15,Bengaluru,Karnataka,2025-11-03 15:49:51,Student,Windows PC,False
74,Rohan,Nair,rohan.nair922@example.com,+91 9195161472,1993-05-06,Jaipur,Rajasthan,2025-09-04 15:49:51,Daily Spender,Windows PC,False
75,Neha,Menon,neha.menon979@example.com,+91 8048964606,2001-01-11,Delhi,Delhi,2023-05-29 15:49:51,High Roller,MacBook Air,False
76,Ananya,Joshi,ananya.joshi150@example.com,+91 8052533726,1984-01-01,Hyderabad,Telangana,2026-06-09 15:49:51,Student,iPhone 13,False
77,Kavya,Bose,kavya.bose457@example.com,+91 8419300925,1970-06-26,Mumbai,Maharashtra,2025-05-20 15:49:51,Daily Spender,Windows PC,False
78,Pooja,Rao,pooja.rao661@example.com,+91 7273744019,1982-02-24,Kolkata,West Bengal,2025-08-05 15:49:51,Daily Spender,Samsung Galaxy S23,True
79,Kavya,Iyer,kavya.iyer957@example.com,+91 7819376135,2001-01-08,Surat,Gujarat,2023-11-18 15:49:51,Daily Spender,MacBook Air,False
80,Amit,Nair,amit.nair362@example.com,+91 8587077112,1951-12-18,Chennai,Tamil Nadu,2026-05-28 15:49:51,Student,iPhone 13,False
81,Neha,Sharma,neha.sharma390@example.com,+91 9552695467,1950-07-06,Delhi,Delhi,2023-09-10 15:49:51,Student,Windows PC,False
82,Sneha,Das,sneha.das63@example.com,+91 9816722453,2002-10-08,Jaipur,Rajasthan,2025-03-03 15:49:51,Daily Spender,MacBook Air,False
83,Aarav,Iyer,aarav.iyer483@example.com,+91 9234914292,1965-03-20,Ahmedabad,Gujarat,2022-11-18 15:49:51,Student,iPhone 15,False
84,Ananya,Sharma,ananya.sharma829@example.com,+91 6394802468,1966-02-19,Chennai,Tamil Nadu,2025-04-12 15:49:51,High Roller,Windows PC,False
85,Sneha,Patel,sneha.patel239@example.com,+91 9205271920,1972-07-13,Ahmedabad,Gujarat,2023-04-28 15:49:51,Daily Spender,iPhone 13,False
86,Riya,Patel,riya.patel987@example.com,+91 7929568736,1957-02-22,Jaipur,Rajasthan,2023-01-17 15:49:51,Student,iPhone 13,False
87,Riya,Deshmukh,riya.deshmukh630@example.com,+91 6996553774,1982-06-05,Jaipur,Rajasthan,2026-01-11 15:49:51,Daily Spender,Samsung Galaxy S23,False
88,Ananya,Gupta,ananya.gupta598@example.com,+91 8432696808,2000-03-21,Mumbai,Maharashtra,2023-05-07 15:49:51,Student,MacBook Air,False
89,Varun,Nair,varun.nair550@example.com,+91 9235971461,1972-02-24,Delhi,Delhi,2025-07-13 15:49:51,Student,MacBook Air,True
90,Aarav,Deshmukh,aarav.deshmukh632@example.com,+91 9084315026,1977-11-11,Kolkata,West Bengal,2026-07-23 15:49:51,Daily Spender,MacBook Air,False
91,Aditya,Reddy,aditya.reddy266@example.com,+91 7109434111,2002-01-20,Surat,Gujarat,2023-11-04 15:49:51,Daily Spender,Windows PC,True
92,Sneha,Menon,sneha.menon39@example.com,+91 8600561063,1973-02-19,Kolkata,West Bengal,2025-01-31 15:49:51,Daily Spender,MacBook Air,True
93,Riya,Iyer,riya.iyer443@example.com,+91 6910448192,1962-03-14,Hyderabad,Telangana,2026-08-02 15:49:51,Daily Spender,MacBook Air,False
94,Amit,Chauhan,amit.chauhan474@example.com,+91 9257185136,1969-08-24,Pune,Maharashtra,2023-03-31 15:49:51,Student,iPhone 15,False
95,Vikram,Deshmukh,vikram.deshmukh730@example.com,+91 8189687994,1984-05-10,Pune,Maharashtra,2025-02-25 15:49:51,Student,MacBook Air,False
96,Karan,Menon,karan.menon15@example.com,+91 6095413368,1977-07-03,Chennai,Tamil Nadu,2024-07-20 15:49:51,Daily Spender,Samsung Galaxy S23,False
97,Kavya,Singh,kavya.singh420@example.com,+91 8451107791,1987-07-30,Pune,Maharashtra,2025-03-17 15:49:51,Student,iPhone 15,False
98,Rohan,Nair,rohan.nair279@example.com,+91 6951557863,1967-10-21,Bengaluru,Karnataka,2023-10-14 15:49:51,Daily Spender,iPhone 13,False
99,Neha,Chauhan,neha.chauhan650@example.com,+91 8696910171,1987-05-05,Jaipur,Rajasthan,2024-03-30 15:49:51,Student,Windows PC,False
100,Vikram,Menon,vikram.menon113@example.com,+91 7315915695,1976-09-30,Ahmedabad,Gujarat,2024-08-25 15:49:51,Daily Spender,Windows PC,False
101,Ananya,Verma,ananya.verma830@example.com,+91 6823309354,1997-04-06,Chennai,Tamil Nadu,2026-07-18 15:49:51,Daily Spender,Samsung Galaxy S23,False
102,Neha,Verma,neha.verma813@example.com,+91 6723920140,2002-09-13,Delhi,Delhi,2025-06-26 15:49:51,Student,Windows PC,False
103,Neha,Joshi,neha.joshi816@example.com,+91 7733333425,2001-10-08,Pune,Maharashtra,2022-12-21 15:49:51,Student,iPhone 13,False
104,Rahul,Iyer,rahul.iyer270@example.com,+91 7334583414,1985-12-13,Hyderabad,Telangana,2023-01-30 15:49:51,Daily Spender,MacBook Air,False
105,Pooja,Patel,pooja.patel925@example.com,+91 6379596267,2000-05-27,Pune,Maharashtra,2024-07-29 15:49:51,Daily Spender,Samsung Galaxy S23,False
106,Varun,Deshmukh,varun.deshmukh554@example.com,+91 7763478047,1984-07-10,Bengaluru,Karnataka,2025-02-22 15:49:51,High Roller,iPhone 15,False
107,Karan,Joshi,karan.joshi563@example.com,+91 6626470240,1953-01-27,Bengaluru,Karnataka,2024-03-29 15:49:51,Daily Spender,MacBook Air,False
108,Aarav,Reddy,aarav.reddy425@example.com,+91 7414187408,1998-10-28,Mumbai,Maharashtra,2026-04-18 15:49:51,High Roller,MacBook Air,True
109,Kavya,Reddy,kavya.reddy823@example.com,+91 9012069073,1949-11-05,Jaipur,Rajasthan,2025-03-22 15:49:51,Daily Spender,iPhone 15,False
110,Kavya,Bose,kavya.bose22@example.com,+91 6866085852,1959-12-14,Chennai,Tamil Nadu,2024-03-12 15:49:51,Student,iPhone 13,False
111,Aarav,Das,aarav.das58@example.com,+91 9864925769,1950-03-23,Chennai,Tamil Nadu,2022-11-12 15:49:51,Daily Spender,Samsung Galaxy S23,False
112,Aditya,Bose,aditya.bose873@example.com,+91 6170916209,2006-10-09,Ahmedabad,Gujarat,2024-09-09 15:49:51,Daily Spender,Windows PC,False
113,Aditya,Patel,aditya.patel39@example.com,+91 8144002671,1961-11-23,Mumbai,Maharashtra,2024-01-26 15:49:51,Daily Spender,iPhone 13,False
114,Kavya,Chauhan,kavya.chauhan544@example.com,+91 8960064884,1986-02-15,Surat,Gujarat,2026-01-08 15:49:51,Student,iPhone 15,True
115,Kavya,Verma,kavya.verma745@example.com,+91 7266790810,1981-03-20,Jaipur,Rajasthan,2026-03-29 15:49:51,Student,iPhone 15,False
116,Amit,Das,amit.das453@example.com,+91 6728058493,1948-12-25,Kolkata,West Bengal,2023-12-11 15:49:51,Student,iPhone 13,False
117,Vikram,Iyer,vikram.iyer91@example.com,+91 7474977524,1957-03-10,Hyderabad,Telangana,2025-10-11 15:49:51,Student,Windows PC,False
118,Riya,Nair,riya.nair638@example.com,+91 9470120468,2003-10-01,Bengaluru,Karnataka,2023-10-24 15:49:51,Student,MacBook Air,False
119,Pooja,Rao,pooja.rao674@example.com,+91 8755719098,1955-04-21,Ahmedabad,Gujarat,2023-04-28 15:49:51,Daily Spender,Windows PC,False
120,Pooja,Chauhan,pooja.chauhan734@example.com,+91 6246031677,1997-09-05,Bengaluru,Karnataka,2026-08-05 15:49:51,Daily Spender,Samsung Galaxy S23,False
121,Ananya,Rao,ananya.rao570@example.com,+91 6347886189,1961-12-27,Delhi,Delhi,2024-06-06 15:49:51,Student,Samsung Galaxy S23,False
122,Rahul,Das,rahul.das500@example.com,+91 6889865087,1981-11-26,Bengaluru,Karnataka,2023-10-13 15:49:51,Daily Spender,MacBook Air,False
123,Vikram,Deshmukh,vikram.deshmukh731@example.com,+91 7474979956,1961-09-28,Bengaluru,Karnataka,2024-11-13 15:49:51,Student,iPhone 13,False
124,Rohan,Sharma,rohan.sharma358@example.com,+91 6875145754,1959-05-15,Mumbai,Maharashtra,2024-03-30 15:49:51,Student,Windows PC,False
125,Aditya,Singh,aditya.singh207@example.com,+91 6570674708,1982-11-15,Surat,Gujarat,2022-09-08 15:49:51,Daily Spender,Windows PC,False
126,Kavya,Rao,kavya.rao911@example.com,+91 8362241400,1999-12-21,Ahmedabad,Gujarat,2023-01-06 15:49:51,Student,MacBook Air,False
127,Neha,Verma,neha.verma471@example.com,+91 7677244732,1962-02-07,Pune,Maharashtra,2023-12-21 15:49:51,Daily Spender,iPhone 13,False
128,Amit,Gupta,amit.gupta16@example.com,+91 7042690268,1946-11-23,Chennai,Tamil Nadu,2025-02-26 15:49:51,Daily Spender,MacBook Air,True
129,Aarav,Menon,aarav.menon479@example.com,+91 7010832062,1975-03-12,Chennai,Tamil Nadu,2024-09-17 15:49:51,Daily Spender,iPhone 13,False
130,Riya,Verma,riya.verma956@example.com,+91 9989623788,1948-11-30,Kolkata,West Bengal,2024-07-25 15:49:51,High Roller,Samsung Galaxy S23,True
131,Ananya,Bose,ananya.bose833@example.com,+91 7519496622,1974-08-11,Ahmedabad,Gujarat,2022-10-30 15:49:51,High Roller,iPhone 15,False
132,Rahul,Singh,rahul.singh590@example.com,+91 8106788294,1970-08-29,Bengaluru,Karnataka,2024-11-25 15:49:51,Daily Spender,Samsung Galaxy S23,False
133,Amit,Joshi,amit.joshi610@example.com,+91 6559130603,1949-11-12,Kolkata,West Bengal,2023-05-20 15:49:51,Daily Spender,iPhone 13,False
134,Neha,Joshi,neha.joshi205@example.com,+91 9760660281,1955-11-21,Ahmedabad,Gujarat,2023-12-29 15:49:51,Daily Spender,iPhone 13,False
135,Amit,Gupta,amit.gupta896@example.com,+91 7278140165,1997-09-11,Pune,Maharashtra,2025-03-06 15:49:51,Daily Spender,Samsung Galaxy S23,False
136,Riya,Das,riya.das991@example.com,+91 9268240653,1994-12-04,Hyderabad,Telangana,2024-12-07 15:49:51,High Roller,Windows PC,True
137,Priya,Bose,priya.bose35@example.com,+91 7392561584,1969-11-30,Kolkata,West Bengal,2024-07-18 15:49:51,Daily Spender,iPhone 13,False
138,Amit,Patel,amit.patel208@example.com,+91 9526595745,1967-04-03,Hyderabad,Telangana,2023-01-11 15:49:51,Daily Spender,iPhone 15,False
139,Pooja,Reddy,pooja.reddy541@example.com,+91 6682247921,1958-03-24,Chennai,Tamil Nadu,2023-12-02 15:49:51,Student,Samsung Galaxy S23,False
140,Neha,Joshi,neha.joshi335@example.com,+91 9358295416,1971-04-21,Chennai,Tamil Nadu,2022-09-16 15:49:51,Daily Spender,Windows PC,False
141,Amit,Gupta,amit.gupta895@example.com,+91 7927488886,1957-07-18,Bengaluru,Karnataka,2026-04-11 15:49:51,Daily Spender,MacBook Air,False
142,Ananya,Menon,ananya.menon739@example.com,+91 7983914380,1958-09-19,Kolkata,West Bengal,2024-01-19 15:49:51,Student,Windows PC,False
143,Rohan,Menon,rohan.menon916@example.com,+91 8437305670,1986-11-15,Bengaluru,Karnataka,2023-10-01 15:49:51,Daily Spender,MacBook Air,False
144,Kavya,Reddy,kavya.reddy647@example.com,+91 8396755357,1999-10-22,Hyderabad,Telangana,2024-12-06 15:49:51,High Roller,Samsung Galaxy S23,False
145,Rohan,Chauhan,rohan.chauhan185@example.com,+91 9590601100,1990-04-03,Bengaluru,Karnataka,2025-07-02 15:49:51,Student,Windows PC,False
146,Aditya,Joshi,aditya.joshi105@example.com,+91 6963304673,1977-10-12,Chennai,Tamil Nadu,2024-05-05 15:49:51,Daily Spender,Samsung Galaxy S23,False
147,Karan,Gupta,karan.gupta777@example.com,+91 6679071998,2003-09-27,Mumbai,Maharashtra,2023-02-19 15:49:51,Daily Spender,MacBook Air,False
148,Sneha,Das,sneha.das309@example.com,+91 9023430146,1947-07-05,Chennai,Tamil Nadu,2023-06-30 15:49:51,Daily Spender,MacBook Air,False
149,Karan,Iyer,karan.iyer95@example.com,+91 7224292292,1958-12-15,Jaipur,Rajasthan,2024-05-14 15:49:51,Daily Spender,iPhone 13,True
150,Pooja,Das,pooja.das964@example.com,+91 9629343037,1997-01-05,Surat,Gujarat,2023-06-15 15:49:51,Daily Spender,MacBook Air,False
151,Varun,Patel,varun.patel810@example.com,+91 6335143845,1994-09-15,Mumbai,Maharashtra,2022-10-24 15:49:51,Daily Spender,Samsung Galaxy S23,True
152,Neha,Joshi,neha.joshi314@example.com,+91 6149615931,1995-04-17,Chennai,Tamil Nadu,2025-01-08 15:49:51,Student,MacBook Air,False
153,Sneha,Iyer,sneha.iyer292@example.com,+91 6802741780,1994-11-23,Delhi,Delhi,2022-12-16 15:49:51,Daily Spender,iPhone 13,True
154,Neha,Verma,neha.verma339@example.com,+91 9530718247,1991-08-22,Pune,Maharashtra,2025-02-28 15:49:51,Daily Spender,Windows PC,False
155,Rohan,Das,rohan.das940@example.com,+91 7760242524,2001-03-12,Surat,Gujarat,2023-10-06 15:49:51,Daily Spender,Samsung Galaxy S23,True
156,Rohan,Joshi,rohan.joshi808@example.com,+91 9840417215,1988-10-07,Surat,Gujarat,2022-11-23 15:49:51,Daily Spender,MacBook Air,False
157,Neha,Sharma,neha.sharma898@example.com,+91 8862013005,2003-11-16,Hyderabad,Telangana,2025-09-29 15:49:51,Student,iPhone 13,False
158,Kavya,Gupta,kavya.gupta242@example.com,+91 7931185338,1998-09-22,Jaipur,Rajasthan,2026-05-28 15:49:51,Daily Spender,Samsung Galaxy S23,False
159,Aditya,Joshi,aditya.joshi717@example.com,+91 8765358432,1971-09-21,Ahmedabad,Gujarat,2023-10-16 15:49:51,Daily Spender,iPhone 15,False
160,Pooja,Reddy,pooja.reddy901@example.com,+91 9547984269,2003-02-25,Hyderabad,Telangana,2024-01-23 15:49:51,Student,iPhone 13,True
161,Aditya,Menon,aditya.menon842@example.com,+91 9091418043,1957-04-08,Mumbai,Maharashtra,2022-09-04 15:49:51,Student,MacBook Air,False
162,Pooja,Singh,pooja.singh558@example.com,+91 7171405796,1994-12-29,Kolkata,West Bengal,2024-12-21 15:49:51,Daily Spender,Samsung Galaxy S23,False
163,Kavya,Gupta,kavya.gupta221@example.com,+91 6290858275,1972-06-01,Mumbai,Maharashtra,2023-09-26 15:49:51,Daily Spender,MacBook Air,True
164,Karan,Singh,karan.singh870@example.com,+91 9719742606,1993-08-18,Chennai,Tamil Nadu,2025-10-12 15:49:51,Daily Spender,MacBook Air,True
165,Ananya,Menon,ananya.menon727@example.com,+91 7704279510,1980-12-17,Surat,Gujarat,2023-10-09 15:49:51,Daily Spender,Windows PC,False
166,Aditya,Singh,aditya.singh386@example.com,+91 8571813779,1979-01-07,Pune,Maharashtra,2025-12-01 15:49:51,High Roller,Samsung Galaxy S23,False
167,Amit,Verma,amit.verma798@example.com,+91 6032018196,1964-01-05,Surat,Gujarat,2025-12-05 15:49:51,Daily Spender,Samsung Galaxy S23,False
168,Sneha,Sharma,sneha.sharma905@example.com,+91 8462336270,2004-11-06,Jaipur,Rajasthan,2022-12-13 15:49:51,High Roller,MacBook Air,False
169,Aarav,Nair,aarav.nair820@example.com,+91 6243328298,1971-01-03,Chennai,Tamil Nadu,2025-09-10 15:49:51,Daily Spender,iPhone 13,False
170,Aditya,Bose,aditya.bose808@example.com,+91 7914781207,1960-05-24,Ahmedabad,Gujarat,2022-11-11 15:49:51,Student,iPhone 13,False
171,Sneha,Verma,sneha.verma359@example.com,+91 9853326409,1961-09-11,Ahmedabad,Gujarat,2022-12-26 15:49:51,Daily Spender,MacBook Air,False
172,Aditya,Deshmukh,aditya.deshmukh336@example.com,+91 6015223518,1984-12-11,Jaipur,Rajasthan,2026-05-27 15:49:51,Daily Spender,MacBook Air,False
173,Sneha,Chauhan,sneha.chauhan66@example.com,+91 8734788458,1966-10-08,Bengaluru,Karnataka,2024-01-09 15:49:51,Daily Spender,iPhone 15,True
174,Kavya,Verma,kavya.verma845@example.com,+91 9359670220,2006-04-12,Mumbai,Maharashtra,2025-12-14 15:49:51,Daily Spender,Windows PC,False
